Date,Category,Payment Mode,Description,Amount Paid,Cashback
2024-12-19,Transportation,Debit Card,Daily commute and fuel expenses.,3463.3,0.0
2024-12-18,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",697.79,0.0
2024-12-21,Groceries,Debit Card,Purchased groceries and household items.,3084.57,0.0
2024-12-03,Transportation,Credit Card,Daily commute and fuel expenses.,2819.53,0.0
2024-12-26,Travel,UPI,Expense for travel tickets and accommodation.,4226.32,16.21
2024-12-10,Gifts,Cash,Purchased gifts for friends and family.,2507.27,0.0
2024-12-19,Transportation,UPI,Daily commute and fuel expenses.,564.68,5.31
2024-12-11,Transportation,Credit Card,Daily commute and fuel expenses.,3859.25,0.0
2024-12-17,Travel,Credit Card,Expense for travel tickets and accommodation.,3586.66,0.0
2024-12-02,Transportation,Debit Card,Daily commute and fuel expenses.,4999.45,0.0
2024-12-11,Transportation,UPI,Daily commute and fuel expenses.,4514.71,6.95
2024-12-06,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2227.68,0.0
2024-12-10,Gifts,UPI,Purchased gifts for friends and family.,119.39,15.48
2024-12-15,Entertainment,UPI,"Movies, concerts, and recreational activities.",724.57,15.58
2024-12-04,Groceries,Credit Card,Purchased groceries and household items.,1895.94,0.0
2024-12-15,Travel,Credit Card,Expense for travel tickets and accommodation.,1526.84,0.0
2024-12-18,Travel,Debit Card,Expense for travel tickets and accommodation.,3838.01,0.0
2024-12-13,Subscriptions,Cash,Online streaming and magazine subscriptions.,771.3,0.0
2024-12-22,Gifts,Credit Card,Purchased gifts for friends and family.,2527.85,0.0
2024-12-25,Entertainment,Cash,"Movies, concerts, and recreational activities.",3239.67,0.0
2024-12-21,Transportation,Debit Card,Daily commute and fuel expenses.,4985.57,0.0
2024-12-19,Entertainment,UPI,"Movies, concerts, and recreational activities.",614.2,9.81
2024-12-02,Gifts,Debit Card,Purchased gifts for friends and family.,1276.65,0.0
2024-12-14,Gifts,Credit Card,Purchased gifts for friends and family.,3913.41,0.0
2024-12-21,Gifts,Cash,Purchased gifts for friends and family.,3186.42,0.0
2024-12-13,Groceries,Debit Card,Purchased groceries and household items.,2123.08,0.0
2024-12-21,Groceries,Credit Card,Purchased groceries and household items.,2525.64,0.0
2024-12-21,Entertainment,Cash,"Movies, concerts, and recreational activities.",4282.55,0.0
2024-12-14,Transportation,Debit Card,Daily commute and fuel expenses.,3827.37,0.0
2024-12-08,Groceries,UPI,Purchased groceries and household items.,1362.72,7.0
2024-12-05,Travel,Credit Card,Expense for travel tickets and accommodation.,4029.7,0.0
2024-12-08,Groceries,Credit Card,Purchased groceries and household items.,2033.05,0.0
2024-12-04,Transportation,Credit Card,Daily commute and fuel expenses.,1611.19,0.0
2024-12-21,Transportation,UPI,Daily commute and fuel expenses.,393.81,18.33
2024-12-19,Subscriptions,Cash,Online streaming and magazine subscriptions.,680.97,0.0
2024-12-15,Gifts,Cash,Purchased gifts for friends and family.,905.25,0.0
2024-12-13,Groceries,Cash,Purchased groceries and household items.,2040.94,0.0
2024-12-20,Groceries,Credit Card,Purchased groceries and household items.,1187.1,0.0
2024-12-04,Subscriptions,Cash,Online streaming and magazine subscriptions.,2400.94,0.0
2024-12-10,Transportation,Cash,Daily commute and fuel expenses.,3504.69,0.0
2024-12-16,Groceries,Debit Card,Purchased groceries and household items.,3342.6,0.0
2024-12-03,Entertainment,UPI,"Movies, concerts, and recreational activities.",3417.2,4.8
2024-12-18,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,2607.05,0.0
2024-12-02,Travel,Cash,Expense for travel tickets and accommodation.,1363.84,0.0
2024-12-24,Travel,Cash,Expense for travel tickets and accommodation.,3678.62,0.0
2024-12-09,Travel,Credit Card,Expense for travel tickets and accommodation.,4202.53,0.0
2024-12-01,Gifts,Cash,Purchased gifts for friends and family.,4550.43,0.0
2024-12-11,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3382.57,0.0
2024-12-22,Transportation,Debit Card,Daily commute and fuel expenses.,619.95,0.0
2024-12-17,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,701.06,0.0
2024-12-01,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,2577.2,0.0
2024-12-15,Groceries,Debit Card,Purchased groceries and household items.,4229.55,0.0
2024-12-16,Entertainment,Cash,"Movies, concerts, and recreational activities.",3236.3,0.0
2024-12-26,Entertainment,UPI,"Movies, concerts, and recreational activities.",3435.96,16.59
2024-12-20,Gifts,UPI,Purchased gifts for friends and family.,1769.53,18.49
2024-12-06,Groceries,UPI,Purchased groceries and household items.,4279.84,5.44
2024-12-04,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,1232.73,0.0
2024-12-02,Travel,UPI,Expense for travel tickets and accommodation.,3981.26,13.06
2024-12-11,Gifts,UPI,Purchased gifts for friends and family.,1822.33,14.41
2024-12-24,Groceries,Cash,Purchased groceries and household items.,2198.36,0.0
2024-12-26,Transportation,UPI,Daily commute and fuel expenses.,4916.83,15.9
2024-12-09,Gifts,UPI,Purchased gifts for friends and family.,1573.73,11.46
2024-12-21,Entertainment,UPI,"Movies, concerts, and recreational activities.",1297.05,10.66
2024-12-26,Gifts,UPI,Purchased gifts for friends and family.,2924.55,19.55
2024-12-23,Gifts,Cash,Purchased gifts for friends and family.,4298.16,0.0
2024-12-11,Groceries,Cash,Purchased groceries and household items.,2492.91,0.0
2024-12-19,Groceries,UPI,Purchased groceries and household items.,3053.79,8.81
2024-12-18,Travel,Cash,Expense for travel tickets and accommodation.,3885.09,0.0
2024-12-02,Groceries,Credit Card,Purchased groceries and household items.,1551.05,0.0
2024-12-23,Travel,UPI,Expense for travel tickets and accommodation.,1465.32,19.61
2024-12-19,Subscriptions,Credit Card,Online streaming and magazine subscriptions.,4966.11,0.0
2024-12-03,Entertainment,UPI,"Movies, concerts, and recreational activities.",1020.88,13.04
2024-12-01,Groceries,UPI,Purchased groceries and household items.,2671.23,15.62
2024-12-27,Transportation,UPI,Daily commute and fuel expenses.,2131.33,17.99
2024-12-10,Subscriptions,Debit Card,Online streaming and magazine subscriptions.,3781.07,0.0
2024-12-12,Entertainment,UPI,"Movies, concerts, and recreational activities.",1467.71,18.91
2024-12-12,Transportation,Cash,Daily commute and fuel expenses.,3684.0,0.0
2024-12-23,Transportation,UPI,Daily commute and fuel expenses.,164.43,17.89
2024-12-08,Subscriptions,Cash,Online streaming and magazine subscriptions.,1590.81,0.0
2024-12-02,Gifts,UPI,Purchased gifts for friends and family.,2066.7,3.61
2024-12-09,Transportation,Cash,Daily commute and fuel expenses.,1511.63,0.0
2024-12-24,Gifts,Cash,Purchased gifts for friends and family.,1021.42,0.0
2024-12-11,Gifts,UPI,Purchased gifts for friends and family.,1529.14,9.02
2024-12-11,Transportation,Credit Card,Daily commute and fuel expenses.,4540.95,0.0
2024-12-13,Travel,UPI,Expense for travel tickets and accommodation.,118.22,8.83
2024-12-06,Transportation,UPI,Daily commute and fuel expenses.,3979.68,3.39
2024-12-09,Groceries,UPI,Purchased groceries and household items.,3552.73,8.34
2024-12-15,Transportation,UPI,Daily commute and fuel expenses.,3283.35,14.56
2024-12-19,Transportation,UPI,Daily commute and fuel expenses.,3184.0,19.78
2024-12-22,Transportation,UPI,Daily commute and fuel expenses.,3797.67,2.5
2024-12-08,Subscriptions,Cash,Online streaming and magazine subscriptions.,2783.42,0.0
2024-12-27,Travel,Debit Card,Expense for travel tickets and accommodation.,2455.49,0.0
2024-12-23,Entertainment,Debit Card,"Movies, concerts, and recreational activities.",1617.84,0.0
2024-12-06,Groceries,Credit Card,Purchased groceries and household items.,2428.84,0.0
2024-12-12,Gifts,Debit Card,Purchased gifts for friends and family.,4977.41,0.0
2024-12-03,Gifts,Debit Card,Purchased gifts for friends and family.,4136.84,0.0
